path_name,adj_p_val,overlapping_genes,-log10_pval,method,path_name_clean,n_sensors
cytokine-mediated signaling pathway (GO:0019221),9.394478545390162e-24,"['CEBPA', 'CSF3', 'IFITM1', 'CXCL8', 'CCL11', 'CEBPD', 'IL24', 'IFI6', 'CXCL1', 'IRS2', 'IFI35', 'IFIT1', 'CXCL3', 'PTGS2', 'CXCL2', 'IFIT3', 'CXCL5', 'ICAM1', 'IFIT2', 'SOCS3', 'UGCG', 'CCL8', 'CCL7', 'CCL2', 'HMOX1', 'GBP1', 'IL1R1', 'STAT1', 'MX2', 'MX1', 'MMP3', 'LIF', 'ISG15', 'FOS', 'SOD2', 'F3', 'BST2', 'NFKBIA', 'IL6', 'OAS1', 'BCL6', 'OAS2', 'IL1B', 'OAS3', 'IRF7', 'BIRC5']",23.02712732106049,foldChange,Cytokine-mediated signaling pathway ,46
cellular response to cytokine stimulus (GO:0071345),2.355484801814359e-16,"['CEBPA', 'CSF3', 'CXCL8', 'CCL11', 'CEBPD', 'IL24', 'CXCL1', 'IFIT1', 'PTGS2', 'CXCL2', 'ICAM1', 'SOCS3', 'CCL8', 'CCL7', 'ANKRD1', 'CCL2', 'HMOX1', 'GBP1', 'MME', 'DUSP1', 'IL1R1', 'STAT1', 'MMP3', 'LIF', 'FOS', 'NR1D1', 'F3', 'IL6', 'SFRP1', 'OAS1', 'BCL6', 'IL1B', 'CHI3L1', 'BIRC5']",15.627919693594906,foldChange,Cellular response to cytokine stimulus ,34
cellular response to type I interferon (GO:0071357),4.020977649900549e-14,"['IFITM1', 'STAT1', 'MX2', 'MX1', 'IFI6', 'ISG15', 'IFI35', 'IFIT1', 'IFIT3', 'IFIT2', 'BST2', 'OAS1', 'OAS2', 'OAS3', 'IRF7']",13.395668340861734,foldChange,Cellular response to type i interferon ,15
type I interferon signaling pathway (GO:0060337),4.020977649900549e-14,"['IFITM1', 'STAT1', 'MX2', 'MX1', 'IFI6', 'ISG15', 'IFI35', 'IFIT1', 'IFIT3', 'IFIT2', 'BST2', 'OAS1', 'OAS2', 'OAS3', 'IRF7']",13.395668340861734,foldChange,Type i interferon signaling pathway ,15
defense response to symbiont (GO:0140546),1.5318452697604065e-13,"['IFITM1', 'STAT1', 'MX2', 'MX1', 'IFI6', 'ISG15', 'IFIT1', 'IFI44L', 'IFIT3', 'IFIT2', 'BST2', 'IL6', 'PLSCR1', 'OAS1', 'OAS2', 'OAS3', 'IRF7', 'PMAIP1']",12.814785100162261,foldChange,Defense response to symbiont ,18
defense response to virus (GO:0051607),4.568473140274828e-13,"['IFITM1', 'STAT1', 'MX2', 'MX1', 'IFI6', 'ISG15', 'IFIT1', 'IFI44L', 'IFIT3', 'IFIT2', 'BST2', 'IL6', 'PLSCR1', 'OAS1', 'OAS2', 'OAS3', 'IRF7', 'PMAIP1']",12.34022892412087,foldChange,Defense response to virus ,18
secondary alcohol biosynthetic process (GO:1902653),5.0198646415106674e-12,"['IDI1', 'FDPS', 'HMGCS1', 'INSIG1', 'MSMO1', 'DHCR24', 'MVD', 'HMGCR', 'DHCR7', 'LSS', 'TM7SF2']",11.299307993260868,foldChange,Secondary alcohol biosynthetic process ,11
regulation of lipid metabolic process (GO:0019216),5.0198646415106674e-12,"['IDI1', 'FDPS', 'HMGCS1', 'RARRES2', 'IRS2', 'HMGCR', 'NR1D1', 'LSS', 'TM7SF2', 'HELZ2', 'SCD', 'IL1B', 'FASN', 'MVD', 'DHCR7']",11.299307993260868,foldChange,Regulation of lipid metabolic process ,15
cholesterol biosynthetic process (GO:0006695),5.827978993577417e-12,"['IDI1', 'FDPS', 'HMGCS1', 'INSIG1', 'MSMO1', 'DHCR24', 'MVD', 'HMGCR', 'DHCR7', 'LSS', 'TM7SF2']",11.234482022274364,foldChange,Cholesterol biosynthetic process ,11
sterol biosynthetic process (GO:0016126),1.4738292221820926e-11,"['IDI1', 'FDPS', 'HMGCS1', 'INSIG1', 'MSMO1', 'DHCR24', 'MVD', 'HMGCR', 'DHCR7', 'LSS', 'TM7SF2']",10.831552836803175,foldChange,Sterol biosynthetic process ,11
